theme,set_number_and_name,price,rating
4 Juniors / Pirates,7075 Captain Redbeard's Pirate Ship,39.99,4.5
4 Juniors / Spider-Man,4860 Doc Ock's Cafe Attack,26.39,4.3
4 Juniors / Value Packs,65462 Value Pack,26.39,4.6
4 Juniors / Pirates,7074 Skull Island,26.39,4.5
4 Juniors / City,4668 Outrigger Construction Crane,11.43,4.6
4 Juniors / Pirates,7073 Pirate Dock,17.59,4.6
4 Juniors / Spider-Man,4858 Doc Ock's Crime Spree,13.19,4.6
4 Juniors / City,4669 Turbo-Charged Police Boat,17.59,4.3
4 Juniors / Pirates,7072 Captain Kragg's Pirate Boat,11.43,4.5
4 Juniors / City,4667 Loadin' Digger,7.03,4.5
4 Juniors / City,4666 Speedy Police Car,4.39,4.5
4 Juniors / Pirates,7071 Treasure Island,7.03,4.5
4 Juniors / Pirates,7070 Catapult Raft,4.39,4.4
4 Juniors / Pirates,7081 Harry Hardtack and Monkey,1.75,4.8
4 Juniors / Pirates,7080 Scurvy Dog and Crocodile,2.63,4.2
4 Juniors / Pirates,7082 Cannonball Jimmy and Shark,1.75,4.6
4 Juniors / Pirates,7290 Captain Kragg in Barrel,22.63,4.7
4 Juniors / Accessories,7099 Accessory Motor,8.79,4.3
4 Juniors / City,4657 Fire Squad HQ,39.99,4.5
4 Juniors / City,4655 Quick Fix Station,21.99,4.2
4 Juniors / City,4654 Tanker Truck,13.19,4.5
4 Juniors / City,4653 Dump Truck,8.79,4.5
4 Juniors / City,4652 Tow Truck,8.79,4.6
4 Juniors / City,4651 Police Motorcycle,2.63,4.5
Znap,3555 Jeep,43.99,4.3
Znap,3582 Super Constructor Set,43.99,4.3
Znap,3554 Helicopter,17.59,4.2
Znap,3520 Forklift,8.79,4.3
Znap,3521 Racer,7.03,4.3
Znap,3506 Motorbike,8.79,4.2
Znap,3505 Aeroplane,7.03,4.3
Znap,3591 Rota-Beast,26.39,4.3
Znap,3581 Red Formula 1 with Storage,17.59,4.3
Znap,3571 Blackmobile,17.59,4.3
Znap,3552 Hover Sub,17.59,4.3
Znap,3551 Dino-Jet,8.79,4.3
Znap,3504 Hook-Truck,7.03,4.3
Znap,3531 Tri-Bike,7.03,4.3
Znap,3501 Jet-Car,7.03,4.2
Znap,3510 Promotional Set,8.24,4.3
Znap,3532 Jet-Ski,7.03,4.3
Znap,3502 Bi-Wing,7.03,4.2
Znap,3503 Mini-Sonic,7.03,4.2
